Date,Contract,Units,$Volume,LowPrice,HighPrice,AvgPrice,LastPrice
07/27/00,Reform,369,1.948,0.005,0.009,0.005,0.005
07/27/00,Rep,293,149.912,0.495,0.539,0.512,0.495
07/28/00,Dem,136,66.055,0.475,0.494,0.486,0.475
07/28/00,Reform,0,0,0,0,,0.005
07/28/00,Rep,18,9.179,0.503,0.525,0.51,0.506
07/29/00,Dem,425,195.545,0.45,0.476,0.46,0.46
07/29/00,Reform,100,0.53,0.005,0.006,0.005,0.005
07/29/00,Rep,455,246.055,0.525,0.55,0.541,0.535
07/30/00,Dem,0,0,0,0,,0.46
07/30/00,Reform,40,0.2,0.005,0.005,0.005,0.005
07/30/00,Rep,40,21.19,0.52,0.54,0.53,0.525
07/31/00,Dem,35,16.44,0.463,0.473,0.47,0.463
07/31/00,Reform,11,0.055,0.005,0.005,0.005,0.005
07/31/00,Rep,88,46.382,0.524,0.536,0.527,0.536
08/01/00,Dem,82,38.684,0.47,0.474,0.472,0.472
08/01/00,Reform,50,0.25,0.005,0.005,0.005,0.005
08/01/00,Rep,142,75.106,0.524,0.536,0.529,0.524
08/02/00,Dem,35,16.561,0.471,0.476,0.473,0.475
08/02/00,Reform,17,0.085,0.005,0.005,0.005,0.005
08/02/00,Rep,58,30.315,0.52,0.524,0.523,0.52
08/03/00,Dem,701,339.578,0.471,0.495,0.484,0.48
08/03/00,Reform,152,0.997,0.006,0.008,0.007,0.006
08/03/00,Rep,333,171.359,0.5,0.54,0.515,0.524
08/04/00,Dem,784,376.538,0.468,0.49,0.48,0.478
08/04/00,Reform,983,5.421,0.005,0.006,0.006,0.005
08/04/00,Rep,710,371.07,0.51,0.54,0.523,0.51
08/05/00,Dem,201,96.198,0.475,0.484,0.479,0.475
08/05/00,Reform,130,0.549,0.004,0.005,0.004,0.005
08/05/00,Rep,263,137.002,0.517,0.525,0.521,0.525
08/06/00,Dem,257,121.663,0.471,0.475,0.473,0.471
08/06/00,Reform,545,2.38,0.004,0.005,0.004,0.004
08/06/00,Rep,377,197.895,0.515,0.525,0.525,0.515
08/07/00,Dem,"1,283",599.016,0.448,0.485,0.467,0.47
08/07/00,Reform,"1,029",4.166,0.004,0.005,0.004,0.004
08/07/00,Rep,516,277.193,0.521,0.55,0.537,0.54
08/08/00,Dem,414,197.213,0.458,0.49,0.476,0.476
08/08/00,Reform,301,1.229,0.004,0.005,0.004,0.004
08/08/00,Rep,260,137.824,0.52,0.539,0.53,0.52
08/09/00,Dem,668,321.48,0.474,0.485,0.481,0.483
08/09/00,Reform,175,0.77,0.004,0.005,0.004,0.004
08/09/00,Rep,115,59.529,0.511,0.522,0.518,0.522
08/10/00,Dem,256,124.246,0.482,0.489,0.485,0.485
08/10/00,Reform,477,2.013,0.004,0.006,0.004,0.005
08/10/00,Rep,509,259.083,0.501,0.524,0.509,0.507
08/11/00,Dem,447,213.622,0.465,0.49,0.478,0.465
08/11/00,Reform,17,0.084,0.004,0.005,0.005,0.004
08/11/00,Rep,395,203.746,0.507,0.53,0.516,0.53
08/12/00,Dem,329,158.154,0.468,0.493,0.481,0.48
08/12/00,Reform,135,0.555,0.004,0.005,0.004,0.004
08/12/00,Rep,128,66.574,0.52,0.527,0.52,0.52
08/13/00,Dem,24,11.712,0.488,0.488,0.488,0.488
08/13/00,Reform,100,0.5,0.005,0.005,0.005,0.005
08/13/00,Rep,18,9.348,0.518,0.521,0.519,0.521
08/14/00,Dem,482,229.66,0.469,0.486,0.476,0.484
08/14/00,Reform,42,0.168,0.004,0.004,0.004,0.004
08/14/00,Rep,85,44.188,0.517,0.529,0.52,0.517
08/15/00,Dem,785,367.623,0.46,0.484,0.468,0.46
08/15/00,Reform,802,3.228,0.004,0.005,0.004,0.004
08/15/00,Rep,642,344.407,0.516,0.55,0.536,0.55
08/16/00,Dem,628,283.755,0.444,0.465,0.452,0.445
08/16/00,Reform,499,1.996,0.004,0.004,0.004,0.004
08/16/00,Rep,663,365.272,0.533,0.558,0.551,0.558
08/17/00,Dem,"1,061",468.95,0.43,0.456,0.442,0.445
08/17/00,Reform,864,3.458,0.004,0.005,0.004,0.004
08/17/00,Rep,534,300.013,0.551,0.573,0.562,0.573
08/18/00,Dem,729,318.135,0.421,0.447,0.436,0.435
08/18/00,Reform,928,3.992,0.004,0.005,0.004,0.004
08/18/00,Rep,"1,304",738.755,0.555,0.585,0.567,0.56
08/19/00,Dem,329,145.265,0.422,0.45,0.442,0.44
08/19/00,Reform,222,0.888,0.004,0.005,0.004,0.004
08/19/00,Rep,951,549.179,0.561,0.599,0.577,0.565
08/20/00,Dem,289,130.098,0.428,0.46,0.45,0.444
08/20/00,Reform,937,3.787,0.004,0.005,0.004,0.004
08/20/00,Rep,615,353.813,0.54,0.599,0.575,0.557
08/21/00,Dem,757,350.785,0.446,0.47,0.463,0.469
08/21/00,Reform,876,3.504,0.004,0.004,0.004,0.004
08/21/00,Rep,781,422.683,0.531,0.563,0.541,0.537
08/22/00,Dem,"1,178",560.299,0.467,0.48,0.476,0.475
08/22/00,Reform,646,2.937,0.004,0.005,0.005,0.004
08/22/00,Rep,139,73.358,0.52,0.537,0.528,0.52
